unix_timestamp,temperature
1736211474655125,29.8984375
1736211475655126,30.0625
1736211476655128,30.203125
1736211477655130,30.3046875
1736211478655132,30.390625
1736211479655133,30.4609375
1736211480655135,30.515625
1736211481655136,30.625
1736211482655138,30.6875
1736211483655140,30.78125
1736211484655141,30.8515625
1736211485655143,30.890625
1736211486655144,30.90625
1736211487655146,30.9140625
1736211488655148,30.9453125
1736211489655149,30.9609375
1736211490655151,30.9765625
1736211491655152,30.9765625
1736211492655154,30.9765625
1736211493655156,30.9609375
1736211494655157,30.9375
1736211495655159,30.9453125
1736211496655160,30.96875
1736211497655162,30.953125
1736211498655164,30.96875
1736211499655165,30.9765625
1736211500655167,31.0390625
1736211501655168,31.078125
1736211502655170,31.1171875
1736211503655172,31.15625
1736211504655173,31.1640625
1736211505655175,31.15625
1736211506655176,31.2109375
1736211507655178,31.234375
1736211508655180,31.21875
1736211509655181,31.2265625
1736211510655183,31.21875
1736211511655184,31.2265625
1736211512655186,31.25
1736211513655188,31.3125
1736211514655189,31.359375
1736211515655191,31.4140625
1736211516655192,31.46875
1736211517655194,31.5
1736211518655196,31.5234375
1736211519655198,31.5703125
1736211520655199,31.59375
1736211521655201,31.578125
1736211522655202,31.578125
1736211523655204,31.5703125
1736211524655206,31.546875
1736211525655207,31.5546875
1736211526655209,31.5390625
1736211527655210,31.5546875
1736211528655212,31.5625
1736211529655214,31.5546875
1736211530655215,31.546875
1736211531655217,31.5546875
1736211532655218,31.5390625
1736211533655220,31.515625
1736211534655222,31.5234375
1736211535655223,31.5390625
1736211536655225,31.53125
1736211537655226,31.546875
1736211538655228,31.546875
1736211539655230,31.5390625
1736211540655231,31.5625
1736211541655233,31.5703125
1736211542655234,31.5546875
1736211543655236,31.5546875
1736211544655238,31.578125
1736211545655239,31.578125
1736211546655241,31.5703125
1736211547655242,31.5703125
1736211548655244,31.5703125
1736211549655246,31.5625
1736211550655247,31.5703125
1736211551655249,31.5703125
1736211552655250,31.5703125
1736211553655252,31.5703125
1736211554655254,31.59375
1736211555655255,31.5859375
1736211556655257,31.5859375
1736211557655258,31.578125
1736211558655260,31.59375
1736211559655262,31.578125
1736211560655264,31.59375
1736211561655265,31.5859375
1736211562655266,31.59375
1736211563655268,31.59375
1736211564655270,31.5859375
1736211565655272,31.59375
1736211566655273,31.59375
1736211567655275,31.59375
1736211568655276,31.6015625
1736211569655278,31.6171875
1736211570655280,31.609375
1736211571655281,31.609375
1736211572655283,31.625
1736211573655284,31.6171875
1736211574655286,31.625
1736211575655288,31.625
1736211576655289,31.6328125
1736211577655291,31.625
1736211578655292,31.6171875
1736211579655294,31.625
1736211580655296,31.625
1736211581655297,31.640625
1736211582655299,31.640625
1736211583655300,31.640625
1736211584655302,31.640625
1736211585655304,31.65625
1736211586655305,31.640625
1736211587655307,31.6640625
1736211588655308,31.65625
1736211589655310,31.65625
1736211590655312,31.65625
1736211591655313,31.65625
1736211592655315,31.671875
1736211593655316,31.6796875
1736211594655318,31.671875
1736211595655320,31.65625
1736211596655321,31.6875
1736211597655323,31.6796875
1736211598655324,31.6796875
1736211599655326,31.6953125
1736211600655328,31.6875
1736211601655330,31.6953125
1736211602655331,31.6953125
1736211603655332,31.6875
1736211604655334,31.6953125
1736211605655336,31.703125
1736211606655338,31.703125
1736211607655339,31.6953125
1736211608655341,31.703125
1736211609655342,31.71875
1736211610655344,31.7109375
1736211611655346,31.71875
1736211612655347,31.71875
1736211613655349,31.71875
1736211614655350,31.734375
1736211615655352,31.7265625
1736211616655354,31.7265625
1736211617655355,31.71875
1736211618655357,31.734375
1736211619655358,31.7265625
1736211620655360,31.7421875
1736211621655362,31.7421875
1736211622655363,31.75
1736211623655365,31.7421875
1736211624655366,31.7421875
1736211625655368,31.75
1736211626655370,31.734375
1736211627655371,31.7421875
1736211628655373,31.75
1736211629655374,31.7578125
1736211630655376,31.7578125
1736211631655378,31.765625
1736211632655379,31.765625
1736211633655381,31.7734375
1736211634655382,31.7734375
1736211635655384,31.78125
1736211636655386,31.78125
1736211637655387,31.7734375
1736211638655389,31.78125
1736211639655390,31.78125
1736211640655392,31.7890625
1736211641655394,31.7890625
1736211642655395,31.78125
1736211643655397,31.796875
1736211644655398,31.796875
1736211645655400,31.7890625
1736211646655402,31.7890625
1736211647655404,31.796875
1736211648655405,31.8125
1736211649655407,31.796875
1736211650655408,31.8125
1736211651655410,31.8125
1736211652655412,31.8125
1736211653655413,31.8203125
1736211654655415,31.828125
1736211655655416,31.8203125
1736211656655418,31.828125
1736211657655420,31.8203125
1736211658655421,31.828125
1736211659655423,31.8203125
1736211660655424,31.8359375
1736211661655426,31.8359375
1736211662655428,31.828125
1736211663655429,31.828125
1736211664655431,31.8515625
1736211665655432,31.8515625
1736211666655434,31.828125
1736211667655436,31.8515625
1736211668655437,31.8515625
1736211669655439,31.8671875
1736211670655440,31.8671875
1736211671655442,31.859375
1736211672655444,31.8671875
1736211673655445,31.8671875
1736211674655447,31.875
1736211675655448,31.8671875
1736211676655450,31.8828125
1736211677655452,31.875
1736211678655453,31.875
1736211679655455,31.890625
1736211680655456,31.8984375
1736211681655458,31.8828125
1736211682655460,31.890625
1736211683655461,31.890625
1736211684655463,31.890625
1736211685655464,31.890625
1736211686655466,31.8984375
1736211687655468,31.890625
1736211688655470,31.890625
1736211689655471,31.8984375
1736211690655472,31.8984375
1736211691655474,31.921875
1736211692655476,31.90625
1736211693655478,31.8984375
1736211694655479,31.9140625
1736211695655481,31.8984375
1736211696655482,31.90625
1736211697655484,31.921875
1736211698655486,31.921875
